2026-05-10 14:32:12,406 | INFO     | scraper |     ✅ NEW TG: Job Title: **Marketing/sales intern**
2026-05-10 14:32:12,423 | INFO     | scraper |     ✅ NEW TG: Job Title: **Customer service**
2026-05-10 14:32:12,441 | INFO     | scraper |     ✅ NEW TG: Job Title: **Head of Digital Marketing**
2026-05-10 14:32:12,459 | INFO     | scraper |     ✅ NEW TG: Job Title: **Social Media Content Lead(Host and Writer)**
2026-05-10 14:32:12,477 | INFO     | scraper |     ✅ NEW TG: **__ሰው አነሰ? Processኡ ረዘመ? ብቁ ሰው ጠፋ? __**
2026-05-10 14:32:12,492 | INFO     | scraper |     ✅ NEW TG: Job Title: **Manager**
2026-05-10 14:32:12,509 | INFO     | scraper |     ✅ NEW TG: - - - - - - - - CLOSED - - - - - - - -
2026-05-10 14:32:12,528 | INFO     | scraper |     ✅ NEW TG: Job Title: **Junior IT Support Officer**
2026-05-10 14:32:12,544 | INFO     | scraper |     ✅ NEW TG: Job Title: **Digital Marketing Manager**
2026-05-10 14:32:12,563 | INFO     | scraper |     ✅ NEW TG: Job Title: **ስፓ ሬሴፕሽኒስት / Spa Receptionist**
2026-05-10 14:32:12,579 | INFO     | scraper |     ✅ NEW TG: Job Title: **IT Support Technician (Junior)**
2026-05-10 14:32:12,598 | INFO     | scraper |     ✅ NEW TG: Job Title: **Pottery and Painting Trainer and Caregiver for 
2026-05-10 14:32:12,616 | INFO     | scraper |     ✅ NEW TG: Job Title: **Structural engineer**
2026-05-10 14:32:12,636 | INFO     | scraper |     ✅ NEW TG: Job Title: **Senior Accountant**
2026-05-10 14:32:12,655 | INFO     | scraper |     ✅ NEW TG: Job Title: **Graphics Designer & Content creator**
2026-05-10 14:32:12,673 | INFO     | scraper |     ✅ NEW TG: Job Title: **Video Editor**
2026-05-10 14:32:12,692 | INFO     | scraper |     ✅ NEW TG: Job Title: **Visa & Travel Consultant**
2026-05-10 14:32:12,709 | INFO     | scraper |     ✅ NEW TG: Job Title: **One to One teacher(For Adolescents)**
2026-05-10 14:32:12,728 | INFO     | scraper |     ✅ NEW TG: Job Title: **Female marketing manager**
2026-05-10 14:32:12,744 | INFO     | scraper |     ✅ NEW TG: Job Title: **Executive Secretary**
2026-05-10 14:32:12,762 | INFO     | scraper |     ✅ NEW TG: Job Title: **Video Editor**
2026-05-10 14:32:12,780 | INFO     | scraper |     ✅ NEW TG: Job Title: **One to One Teacher**
2026-05-10 14:32:12,798 | INFO     | scraper |     ✅ NEW TG: Job Title: **procurement officer**
2026-05-10 14:32:12,816 | INFO     | scraper |     ✅ NEW TG: Job Title: **ስቶር ኪፐር**
2026-05-10 14:32:12,834 | INFO     | scraper |     ✅ NEW TG: Job Title: **Event security**
2026-05-10 14:32:12,853 | INFO     | scraper |     ✅ NEW TG: Job Title: **Junior Showroom Assistant**
2026-05-10 14:32:12,870 | INFO     | scraper |     ✅ NEW TG: Job Title: **Graphic Designer & Motion Graphics Designer**
2026-05-10 14:32:12,890 | INFO     | scraper |     ✅ NEW TG: Job Title: **Video Editor**
2026-05-10 14:32:12,945 | INFO     | scraper |     ✅ NEW TG: Job Title: **Photo Editor**
2026-05-10 14:32:12,962 | INFO     | scraper |     ✅ NEW TG: Job Title: **Bar and Restaurant Manager**
2026-05-10 14:32:12,978 | INFO     | scraper |     ✅ NEW TG: Job Title: **HR Recruiter / Talent Acquisition Specialist**
